english,vietnamese,exampleSentence,englishMeaning,difficulty,category
whisper,thì thầm,There are whispers of rebellion all around.,"The act of speaking in a quiet voice, especially, without vibration of the vocal cords.",A2,Daily Communication
secret,bí mật,"""Can you keep a secret?"" ""Yes."" ""So can I."".",A piece of knowledge that is hidden and intended to be kept hidden.,C2,Daily Communication
choice,lựa chọn,Do I have a choice of what color to paint it?,An option; a decision; an opportunity to choose or select something.,C2,Daily Communication
belief,niềm tin,It's my belief that the thief is somebody known to us.,Mental acceptance of a claim as true.,A2,Daily Communication
lonely,cô đơn,She feels lonely.,Unhappy because of feeling isolated from contact with other people.,B1,Daily Communication
excited,hào hứng,The fireworks which opened the festivities excited anyone present.,To stir the emotions of.,A2,Daily Communication
thirsty,khát,After all that work I am really thirsty.,Needing to drink.,B1,Daily Communication
disgusting,kinh tởm,It disgusts me to see her chew with her mouth open.,To cause an intense dislike for something.,A2,Daily Communication
salty,mặn,This is salty.,Tasting of salt.,B2,Daily Communication
spicy,cay,He prepared a spicy casserole.,"Of, pertaining to, or containing spice.",C2,Daily Communication
bland,nhạt,A bland diet.,Having a soothing effect; not irritating or stimulating.,B1,Daily Communication
mouse,chuột,Captain Higgins moused the hook with a bit of marline to prevent the block beckets from falling out under slack.,Any small rodent of the genus Mus.,C2,Office
scanner,máy quét,"He put the picture in the scanner, then e-mailed a copy of it to his family.",A device which scans documents in order to convert them to a digital medium.,B1,Office
document,tài liệu,"He documented each step of the process as he did it, which was good when the investigation occurred.","An original or official paper used as the basis, proof, or support of anything else, including any writing, book, or other instrument conveying information pertinent to such proof or support.",B2,Office
conference,hội nghị,Welcome to the conference.,The act of consulting together formally; serious conversation or discussion; interchange of views.,C1,Office
message,tin nhắn,We've just received an urgent message from the President.,"A communication, or what is communicated; any concept or information conveyed.",A2,Office
appointment,cuộc hẹn,His appointment was deemed suitable.,The act of appointing a person to hold an office or to have a position of trust,B1,Office
resume,sơ yếu lý lịch,We will resume this discussion tomorrow at nine.,To take back possession of (something).,B2,Office
contract,hợp đồng,Marriage is a contract.,"An agreement between two or more parties, to perform a specific job or work order, often temporary or of fixed duration and usually governed by a written agreement.",C2,Office
bonus,thưởng,The employee of the week receives a bonus for his excellent work.,Something extra that is good; an added benefit.,B1,Office
promotion,thăng chức,I'll have to give myself a promotion!,An advancement in rank or position.,B2,Office
benefits,phúc lợi,It was for her benefit.   His benefit was free beer.,An advantage; help or aid from something.,C2,Office
