english,vietnamese,exampleSentence,englishMeaning,difficulty,category
question,câu hỏi,This is an example for question.,"A sentence, phrase or word which asks for information, reply or response; an interrogative.",B1,Daily Communication
answer,trả lời,This is an example for answer.,A response or reply; something said or done in reaction to a statement or question.,C1,Daily Communication
neighbor,hàng xóm,This is an example for neighbor.,A person living on adjacent or nearby land; a person situated adjacently or nearby; anything (of the same type of thing as the subject) in an adjacent or nearby position.,B1,Daily Communication
colleague,đồng nghiệp,This is an example for colleague.,"A fellow member of a profession, staff, academic faculty or other organization; an associate.",B2,Daily Communication
meeting,cuộc gặp,This is an example for meeting.,(gerund) The act of persons or things that meet.,A2,Daily Communication
chat,tán gẫu,This is an example for chat.,Informal conversation.,A2,Daily Communication
story,câu chuyện,This is an example for story.,"A sequence of real or fictional events; or, an account of such a sequence.",C2,Daily Communication
laugh,cười,This is an example for laugh.,An expression of mirth particular to the human species; the sound heard in laughing; laughter.,B2,Daily Communication
smile,mỉm cười,This is an example for smile.,"A facial expression comprised by flexing the muscles of both ends of one's mouth, often showing the front teeth, without vocalisation, and in humans is a common involuntary or voluntary expression of happiness, pleasure, amusement or anxiety.",A2,Daily Communication
cry,khóc,This is an example for cry.,A shedding of tears; the act of crying.,A2,Daily Communication
shout,hét,This is an example for shout.,"A loud burst of voice or voices; a violent and sudden outcry, especially that of a multitude expressing joy, triumph, exultation, anger, or animated courage.",C2,Daily Communication
whisper,thì thầm,This is an example for whisper.,"The act of speaking in a quiet voice, especially, without vibration of the vocal cords.",A2,Daily Communication
secret,bí mật,This is an example for secret.,A piece of knowledge that is hidden and intended to be kept hidden.,C2,Daily Communication
promise,lời hứa,This is an example for promise.,An oath or affirmation; a vow,B2,Daily Communication
advice,lời khuyên,This is an example for advice.,An opinion offered in an effort to be helpful.,B1,Daily Communication
choice,lựa chọn,This is an example for choice.,An option; a decision; an opportunity to choose or select something.,C2,Daily Communication
opinion,ý kiến,This is an example for opinion.,"A subjective belief, judgment or perspective that a person has formed about a topic, issue, person or thing.",C2,Daily Communication
belief,niềm tin,This is an example for belief.,Mental acceptance of a claim as true.,A2,Daily Communication
dream,ước mơ,This is an example for dream.,Imaginary events seen in the mind while sleeping.,C1,Daily Communication
hope,hy vọng,This is an example for hope.,"To want something to happen, with a sense of expectation that it might.",A2,Daily Communication
fear,nỗi sợ,This is an example for fear.,"A strong, uncontrollable, unpleasant emotion or feeling caused by actual or perceived danger or threat.",A2,Daily Communication
lonely,cô đơn,This is an example for lonely.,Unhappy because of feeling isolated from contact with other people.,B1,Daily Communication
excited,hào hứng,This is an example for excited.,To stir the emotions of.,A2,Daily Communication
bored,chán,This is an example for bored.,To inspire boredom in somebody.,B1,Daily Communication
thirsty,khát,This is an example for thirsty.,Needing to drink.,B1,Daily Communication
delicious,ngon,This is an example for delicious.,Pleasing to taste; tasty.,B2,Daily Communication
disgusting,kinh tởm,This is an example for disgusting.,To cause an intense dislike for something.,A2,Daily Communication
sweet,ngọt,This is an example for sweet.,The basic taste sensation induced by sugar.,C2,Daily Communication
sour,chua,This is an example for sour.,The sensation of a sour taste.,C1,Daily Communication
salty,mặn,This is an example for salty.,Tasting of salt.,B2,Daily Communication
bitter,đắng,This is an example for bitter.,"(usually in the plural bitters) A liquid or powder, made from bitter herbs, used in mixed drinks or as a tonic.",B1,Daily Communication
spicy,cay,This is an example for spicy.,"Of, pertaining to, or containing spice.",C2,Daily Communication
bland,nhạt,This is an example for bland.,Having a soothing effect; not irritating or stimulating.,B1,Daily Communication
fresh,tươi,This is an example for fresh.,"A rush of water, along a river or onto the land; a flood.",B1,Daily Communication
office,văn phòng,This is an example for office.,"A ceremonial duty or service, particularly:",B1,Office
desk,bàn làm việc,This is an example for desk.,"A table, frame, or case, in past centuries usually with a sloping top but now usually with a flat top, for the use of writers and readers. It often has a drawer or repository underneath.",B1,Office
computer,máy tính,This is an example for computer.,A person employed to perform computations; one who computes.,B2,Office
laptop,máy tính xách tay,This is an example for laptop.,A laptop computer.,C1,Office
keyboard,bàn phím,This is an example for keyboard.,"(etc.) A set of keys used to operate a typewriter, computer etc.",B2,Office
mouse,chuột,This is an example for mouse.,Any small rodent of the genus Mus.,C2,Office
printer,máy in,This is an example for printer.,One who makes prints.,B2,Office
scanner,máy quét,This is an example for scanner.,A device which scans documents in order to convert them to a digital medium.,B1,Office
file,tệp tin,This is an example for file.,A collection of papers collated and archived together.,B1,Office
folder,thư mục,This is an example for folder.,"An organizer that papers are kept in, usually with an index tab, to be stored as a single unit in a filing cabinet.",B2,Office
document,tài liệu,This is an example for document.,"An original or official paper used as the basis, proof, or support of anything else, including any writing, book, or other instrument conveying information pertinent to such proof or support.",B2,Office
paper,giấy,This is an example for paper.,"A sheet material used for writing on or printing on (or as a non-waterproof container), usually made by draining cellulose fibres from a suspension in water.",B2,Office
pen,bút,This is an example for pen.,"An enclosure (enclosed area) used to contain domesticated animals, especially sheep or cattle.",C1,Office
pencil,bút chì,This is an example for pencil.,A paintbrush.,A2,Office
notebook,sổ tay,This is an example for notebook.,A book in which notes or memoranda are written.,B1,Office
calendar,lịch,This is an example for calendar.,"Any system by which time is divided into days, weeks, months, and years.",C1,Office
clock,đồng hồ,This is an example for clock.,An instrument used to measure or keep track of time; a non-portable timepiece.,B1,Office
conference,hội nghị,This is an example for conference.,The act of consulting together formally; serious conversation or discussion; interchange of views.,C1,Office
presentation,thuyết trình,This is an example for presentation.,"The act of presenting, or something presented",C1,Office
report,báo cáo,This is an example for report.,"A piece of information describing, or an account of certain events given or presented to someone, with the most common adpositions being by (referring to creator of the report) and on (referring to the subject).",B1,Office
email,thư điện tử,This is an example for email.,"A system for transferring messages from one computer to another, usually through a network.",B1,Office
message,tin nhắn,This is an example for message.,"A communication, or what is communicated; any concept or information conveyed.",A2,Office
boss,sếp,This is an example for boss.,A person who oversees and directs the work of others; a supervisor.,C2,Office
manager,quản lý,This is an example for manager.,"A person whose job is to manage something, such as a business, a restaurant, or a sports team.",C1,Office
employee,nhân viên,This is an example for employee.,An individual who provides labor to a company or another person.,B1,Office
staff,đội ngũ,This is an example for staff.,"(plural staffs or staves) A long, straight, thick wooden rod or stick, especially one used to assist in walking.",B1,Office
project,dự án,This is an example for project.,"A planned endeavor, usually with a specific goal and accomplished in several steps or stages.",B1,Office
task,nhiệm vụ,This is an example for task.,A piece of work done as part of one’s duties.,B1,Office
duty,trách nhiệm,This is an example for duty.,That which one is morally or legally obligated to do.,B2,Office
deadline,hạn chót,This is an example for deadline.,A time limit in the form of a date on or before which something must be completed.,C2,Office
schedule,lịch trình,This is an example for schedule.,A slip of paper; a short note.,C1,Office
appointment,cuộc hẹn,This is an example for appointment.,The act of appointing a person to hold an office or to have a position of trust,B1,Office
interview,phỏng vấn,This is an example for interview.,An official face-to-face meeting of monarchs or other important figures.,A2,Office
resume,sơ yếu lý lịch,This is an example for resume.,To take back possession of (something).,B2,Office
contract,hợp đồng,This is an example for contract.,"An agreement between two or more parties, to perform a specific job or work order, often temporary or of fixed duration and usually governed by a written agreement.",C2,Office
agreement,thỏa thuận,This is an example for agreement.,An understanding between entities to follow a specific course of conduct.,A2,Office
